age,height,weight,40_yard,vertical,broad_jump,combine_invite,has_college_stats,age_estimated,conference_tier,ras_score,ras_drills_used,ras_reliable,speed_score,college_sp_plus,college_sp_offense,college_sp_defense,college_sos,years_in_college,is_underclassman,height_z,weight_z,size_score,positional_value_prior,positional_value_adjusted,position_historical_round_avg,position_historical_round_std,def_pd,def_qb_hur,def_sacks,def_solo,def_tfl,def_tot,defensive_td
21.0,77.0,275.0,5.04,32.5,117.0,1,1,0,3,3.229479624219196,6,1,85.23943133611515,16.7,30.0,15.2,31.0,4.0,0.0,1.467753232339812,0.9032596505297033,1.1855064414347576,9,0.6428571428571429,3.966666666666667,1.9700843872781693,3.0,9.0,9.0,29.0,13.5,45.0,0.0
21.0,,,,,,0,1,0,3,,0,0,,28.1,43.5,14.6,49.0,4.0,0.0,,,,7,0.5,4.191304347826087,1.959661858470061,1.0,2.0,0.5,15.0,0.5,23.0,0.0
24.0,77.0,325.0,5.32,31.0,100.0,1,0,0,1,3.19754345956232,6,1,81.14594596923283,21.0,38.3,17.3,8.0,5.0,0.0,0.1102343367295766,0.8651101449213937,0.4876722408254852,3,0.5357142857142857,3.989189189189189,2.0955158885135967,,,,,,,
22.0,71.0,186.0,4.39,37.0,123.0,1,0,0,3,5.875674574540538,6,1,100.15781899578904,19.8,43.3,23.9,1.0,5.0,0.0,-1.271074299206282,-1.182530518995317,-1.2268024091007996,4,0.2721088435374149,4.25,1.923743070572264,,,,,,,
21.0,75.0,250.0,,,,1,0,0,1,,0,0,,,,,,4.0,0.0,0.5548107218244475,0.3173635354945851,0.4360871286595162,9,0.6428571428571429,3.966666666666667,1.9700843872781693,,,,,,,
23.0,78.0,315.0,4.92,27.0,107.0,1,1,0,3,6.358492659233668,6,1,107.51774281138584,-0.7,22.8,23.6,62.0,5.0,0.0,0.7890457786959345,0.032041116478568,0.4105434475872512,3,0.5084745762711864,3.989189189189189,2.0955158885135967,0.0,0.0,0.0,2.0,0.0,3.0,0.0
22.0,76.0,260.0,4.75,32.0,120.0,1,1,0,1,4.078773674367759,6,1,102.14777357448148,21.0,38.3,17.3,8.0,5.0,0.0,1.0112819770821295,0.5517219815086323,0.781501979295381,6,0.4081632653061224,3.8472222222222223,2.0872498397613364,0.0,6.0,6.5,15.0,6.5,22.0,0.0
22.0,74.0,282.0,4.49,37.5,125.0,1,1,0,3,6.781100783735719,4,1,138.76940940815135,-13.4,17.0,28.6,30.0,5.0,0.0,0.098339466566765,1.067310562739536,0.5828250146531506,6,0.410958904109589,3.8472222222222223,2.0872498397613364,1.0,3.0,5.0,27.0,9.0,38.0,0.0
22.0,76.0,247.0,4.74,34.5,123.0,1,0,0,1,4.7633501636244535,3,1,97.86188621948509,,,,,5.0,0.0,1.0112819770821295,0.2470560016903709,0.6291689893862503,9,0.6666666666666666,3.966666666666667,1.9700843872781693,,,,,,,
24.0,73.0,282.0,4.94,32.5,109.0,1,1,0,3,2.0335428268281373,4,1,94.7046510674687,10.0,31.3,22.4,48.0,5.0,0.0,-0.3581317886909173,1.067310562739536,0.3545893870243094,6,0.4285714285714285,4.179775280898877,1.8742380133658745,3.0,3.0,3.0,11.0,5.5,29.0,0.0
23.0,74.0,267.0,4.77,32.5,113.0,1,1,0,1,4.288395662299173,4,1,103.14964576597546,,,,,5.0,0.0,0.098339466566765,0.7157728937184653,0.4070561801426152,9,0.6428571428571429,3.966666666666667,1.9700843872781693,0.0,3.0,8.5,23.0,12.5,42.0,0.0
22.0,79.0,260.0,4.74,36.0,117.0,1,1,0,3,5.803577467817213,5,1,103.0125118099843,23.4,36.5,15.8,5.0,5.0,0.0,2.3806957428551767,0.5517219815086323,1.4662088621819045,9,0.625,3.966666666666667,1.9700843872781693,3.0,12.0,14.0,33.0,15.5,58.0,0.0
23.0,78.0,331.0,5.01,29.5,111.0,1,0,0,3,5.1026699674419405,5,1,105.07685991192596,10.4,25.6,15.4,53.0,5.0,0.0,0.7890457786959345,1.3649515619870891,1.0769986703415118,3,0.588235294117647,3.989189189189189,2.0955158885135967,,,,,,,
23.0,77.0,310.0,,,,1,0,0,3,,0,0,,26.0,40.8,16.3,34.0,5.0,0.0,0.1102343367295766,-0.3844933977428448,-0.137129530506634,3,0.588235294117647,3.989189189189189,2.0955158885135967,,,,,,,
23.0,74.0,197.0,4.46,36.0,129.0,1,1,0,3,6.71204742283739,3,1,99.5764838867107,3.1,31.1,29.9,22.0,5.0,0.0,0.098339466566765,-0.924736228379865,-0.41319838090655,4,0.2777777777777778,4.25,1.923743070572264,6.0,1.0,0.0,25.0,1.0,28.0,0.0
22.0,73.0,224.0,,,,1,0,0,1,5.07089729855426,1,0,,,,,,5.0,0.0,-0.3581317886909173,-0.2919684241419376,-0.3250501064164274,5,0.3571428571428571,4.166666666666667,1.8347152500215944,,,,,,,
22.0,73.0,195.0,4.55,33.0,122.0,1,1,0,3,5.153732220927432,4,1,90.99531241439573,18.9,44.9,26.5,23.0,5.0,0.0,-0.3581317886909173,-0.9716079175826744,-0.6648698531367959,4,0.273972602739726,4.25,1.923743070572264,9.0,0.0,1.0,39.0,1.0,53.0,1.0
24.0,76.0,303.0,,20.5,95.0,1,0,0,3,0.0,2,0,,18.9,44.9,26.5,23.0,5.0,0.0,-0.5685771052367812,-0.9676417176528228,-0.7681094114448019,3,0.5660377358490566,3.989189189189189,2.0955158885135967,,,,,,,
23.0,75.0,248.0,4.7,33.0,125.0,1,1,0,1,4.8351695460522,5,1,101.64598874393631,-6.3,29.9,35.1,112.0,5.0,0.0,0.5548107218244475,0.2704918462917757,0.4126512840581116,5,0.3571428571428571,4.166666666666667,1.8347152500215944,2.0,7.0,10.5,34.0,16.5,56.0,0.0
22.0,77.0,312.0,4.96,34.5,118.0,1,0,0,3,8.931347212506559,3,1,103.0998144600935,28.3,46.8,18.6,6.0,5.0,0.0,0.1102343367295766,-0.2178795920542796,-0.0538226276623515,3,0.5357142857142857,3.989189189189189,2.0955158885135967,,,,,,,
22.0,77.0,271.0,,,,1,0,0,1,2.5611329297334766,1,0,,,,,,5.0,0.0,1.467753232339812,0.8095162721240843,1.1386347522319482,9,0.625,3.966666666666667,1.9700843872781693,,,,,,,
23.0,78.0,332.0,,26.0,96.0,1,1,0,3,0.0,2,0,,24.1,36.6,10.8,21.0,5.0,0.0,1.9242244875974943,2.239102792809772,2.081663640203633,6,0.4285714285714285,4.179775280898877,1.8742380133658745,6.0,1.0,1.0,22.0,5.0,43.0,0.0
22.0,76.0,308.0,5.05,32.0,106.0,1,0,0,3,6.198340343257302,6,1,94.7142227522264,12.4,38.0,25.5,63.0,5.0,0.0,-0.5685771052367812,-0.55110720343141,-0.5598421543340956,3,0.5357142857142857,3.989189189189189,2.0955158885135967,,,,,,,
21.0,,,,,,0,0,0,3,,0,0,,18.0,43.7,25.6,42.0,4.0,0.0,,,,6,0.4081632653061224,4.179775280898877,1.8742380133658745,,,,,,,
22.0,70.0,201.0,4.6,32.0,119.0,1,1,0,1,5.3567079397517805,6,1,89.78312684703103,17.7,35.8,18.5,35.0,5.0,0.0,-1.7275455544639642,-0.8309928499742462,-1.2792692022191052,4,0.2857142857142857,4.557692307692308,1.8933678007611927,2.0,1.0,1.0,30.0,3.0,66.0,0.0
23.0,72.0,199.0,4.36,34.5,128.0,1,1,0,3,6.644167095409623,3,1,110.13798203279224,17.5,39.4,23.8,6.0,5.0,0.0,-0.8146030439485996,-0.8778645391770556,-0.8462337915628276,4,0.2777777777777778,4.25,1.923743070572264,6.0,0.0,0.0,41.0,1.0,60.0,1.0
22.0,75.0,264.0,4.69,35.5,119.0,1,1,0,3,5.113215250845692,6,1,109.12959706403926,-3.0,24.5,29.6,67.0,5.0,0.0,0.5548107218244475,0.6454653599142512,0.6001380408693493,9,0.6428571428571429,3.966666666666667,1.9700843872781693,3.0,10.0,4.5,23.0,9.5,46.0,0.0
