age,height,weight,40_yard,vertical,broad_jump,combine_invite,has_college_stats,age_estimated,conference_tier,ras_score,ras_drills_used,ras_reliable,speed_score,college_sp_plus,college_sp_offense,college_sp_defense,college_sos,years_in_college,is_underclassman,height_z,weight_z,size_score,positional_value_prior,positional_value_adjusted,position_historical_round_avg,position_historical_round_std
25.0,,,,,,0,1,0,3,,0,0,,23.4,36.5,15.8,5.0,5.0,0.0,,,,8,1.3559322033898304,5.0,2.273030282830976
21.0,77.0,315.0,5.22,30.5,109.0,1,0,0,3,4.635578568093719,6,1,84.85130721894812,26.8,34.2,10.0,12.0,4.0,0.0,0.1102343367295766,0.032041116478568,0.0711377266040723,8,1.4035087719298245,3.631578947368421,1.9785478244406585
24.0,78.0,336.0,5.26,29.5,107.0,1,0,0,3,4.077214267563706,4,1,87.78620936008791,5.0,31.5,26.3,91.0,5.0,0.0,0.7890457786959345,1.781486076208502,1.2852659274522182,8,1.568627450980392,5.0,2.273030282830976
24.0,,,,,,0,0,0,3,,0,0,,-4.1,30.1,34.7,9.0,5.0,0.0,,,,8,1.4035087719298245,3.631578947368421,1.9785478244406585
23.0,77.0,321.0,5.08,28.5,109.0,1,1,0,3,4.026413485775795,4,1,96.4006981024068,4.1,28.0,25.6,14.0,5.0,0.0,0.1102343367295766,0.5318825335442634,0.32105843513692,8,1.3559322033898304,3.631578947368421,1.9785478244406585
21.0,77.0,322.0,5.07,31.0,115.0,1,0,0,3,5.593447449598688,5,1,97.46619906878088,13.1,39.0,26.7,4.0,4.0,0.0,0.1102343367295766,0.615189436388546,0.3627118865590613,8,1.4035087719298245,3.631578947368421,1.9785478244406585
22.0,78.0,309.0,,,,1,0,0,1,,0,0,,,,,,5.0,0.0,0.7890457786959345,-0.4678003005871273,0.1606227390544035,3,0.5263157894736842,4.724137931034483,1.7091466484798348
22.0,77.0,315.0,,,,1,0,0,3,,0,0,,20.7,35.7,16.0,6.0,5.0,0.0,0.1102343367295766,0.032041116478568,0.0711377266040723,3,0.5263157894736842,4.724137931034483,1.7091466484798348
23.0,,,,,,0,0,0,3,,0,0,,19.0,35.6,15.5,28.0,5.0,0.0,,,,8,1.4035087719298245,3.631578947368421,1.9785478244406585
23.0,75.0,229.0,5.07,31.0,112.0,1,0,0,3,2.3742443697792472,5,1,69.31602356133796,33.1,48.9,17.7,3.0,5.0,0.0,0.5548107218244475,-0.174789201134914,0.1900107603447667,1,0.0714285714285714,6.25,0.5
24.0,,,,,,0,0,0,3,,0,0,,4.9,32.4,26.5,37.0,5.0,0.0,,,,8,1.568627450980392,5.0,2.273030282830976
