age,height,weight,combine_invite,has_college_stats,age_estimated,conference_tier,ras_drills_used,ras_reliable,college_sp_plus,college_sp_offense,college_sp_defense,college_sos,years_in_college,is_underclassman,height_z,weight_z,size_score,positional_value_prior,positional_value_adjusted,position_historical_round_avg,position_historical_round_std,td_int_ratio,yards_per_attempt,completion_pct,pass_att,pass_cmp,pass_cmp_pct,pass_int,pass_td,pass_yds,pass_ypa,rush_att,rush_long,rush_td,rush_yds,rush_ypc
25.0,75.0,213.0,1,1,0,3,0,0,7.7,31.6,22.4,17.0,5.0,0.0,0.2674523475799732,-0.5252988687454104,-0.1289232605827186,10,4.166666666666666,3.788732394366197,2.2735465872743936,1.6923076923076923,7.004024144869216,64.1851106639839,497.0,319.0,0.642,13.0,22.0,3481.0,7.0,43.0,24.0,1.0,-81.0,-1.9
21.0,76.0,244.0,1,1,0,3,3,1,10.4,39.6,29.5,3.0,4.0,0.0,0.8291022774979107,2.7734429018648448,1.8012725896813775,10,4.166666666666666,3.788732394366197,2.2735465872743936,1.8888888888888888,7.795107033639144,53.82262996941896,327.0,176.0,0.538,9.0,17.0,2549.0,7.8,103.0,81.0,9.0,654.0,6.3
23.0,73.0,215.0,1,1,0,2,5,1,13.3,40.5,28.8,92.0,5.0,0.0,-0.8558475122559016,-0.3124768190286197,-0.5841621656422606,10,5.2631578947368425,3.788732394366197,2.2735465872743936,5.090909090909091,8.677621283255085,69.17057902973396,639.0,442.0,0.692,11.0,56.0,5545.0,8.7,49.0,21.0,3.0,22.0,0.4
23.0,,,0,1,0,2,0,0,,,,,5.0,0.0,,,,10,4.347826086956522,3.788732394366197,2.2735465872743936,0.0,7.8,65.0,20.0,13.0,0.65,1.0,0.0,156.0,7.8,14.0,22.0,0.0,36.0,2.6
24.0,74.0,214.0,1,1,0,3,0,0,26.2,45.0,18.2,52.0,5.0,0.0,-0.2941975823379641,-0.418887843887015,-0.3565427131124896,10,4.761904761904762,3.788732394366197,2.2735465872743936,13.333333333333334,9.528735632183908,77.24137931034483,435.0,336.0,0.772,3.0,40.0,4145.0,9.5,53.0,44.0,6.0,228.0,4.3
22.0,73.0,212.0,1,0,0,3,4,1,11.4,23.6,14.4,23.0,5.0,0.0,-0.8558475122559016,-0.6317098936038057,-0.7437787029298537,10,5.2631578947368425,3.788732394366197,2.2735465872743936,,,,,,,,,,,,,,,
22.0,70.0,204.0,1,1,0,3,0,0,30.3,42.9,14.2,9.0,5.0,0.0,-2.5407973020097137,-1.4829980924709685,-2.011897697240341,10,4.166666666666666,3.788732394366197,2.2735465872743936,5.4,8.376044568245126,64.06685236768801,359.0,230.0,0.641,5.0,27.0,3007.0,8.4,46.0,63.0,4.0,195.0,4.2
21.0,75.0,214.0,1,0,0,2,0,0,-4.6,31.6,35.2,86.0,4.0,0.0,0.2674523475799732,-0.418887843887015,-0.0757177481535209,10,4.166666666666666,3.788732394366197,2.2735465872743936,,,,,,,,,,,,,,,
22.0,73.0,214.0,1,1,0,3,0,0,9.4,43.3,32.8,18.0,5.0,0.0,-0.8558475122559016,-0.418887843887015,-0.6373676780714583,10,4.761904761904762,3.788732394366197,2.2735465872743936,6.0,9.36340206185567,68.55670103092784,388.0,266.0,0.686,5.0,30.0,3633.0,9.4,99.0,46.0,11.0,115.0,1.2
24.0,,,0,1,0,1,0,0,,,,,5.0,0.0,,,,10,4.166666666666666,3.788732394366197,2.2735465872743936,7.0,9.26774193548387,72.90322580645162,310.0,226.0,0.729,4.0,28.0,2873.0,9.3,112.0,34.0,9.0,417.0,3.7
