age,height,weight,40_yard,vertical,broad_jump,combine_invite,has_college_stats,age_estimated,conference_tier,ras_score,ras_drills_used,ras_reliable,speed_score,college_sp_plus,college_sp_offense,college_sp_defense,college_sos,years_in_college,is_underclassman,height_z,weight_z,size_score,positional_value_prior,positional_value_adjusted,position_historical_round_avg,position_historical_round_std,dominator_rating,team_total_yards,rush_att,rush_long,rush_td,rush_yds,rush_ypc,rec,rec_long,rec_td,rec_yds,rec_ypr
23.0,76.0,198.0,4.47,35.0,133.0,1,1,0,3,6.5437201193255214,3,1,99.18936121674685,8.2,43.3,35.2,58.0,5.0,0.0,1.0835825268725572,-0.6340376776252394,0.2247724246236588,7,0.9210526315789472,3.888324873096447,2.0498172482106414,16.996184530003468,5766.0,,,,,,70.0,68.0,11.0,980.0,14.0
22.0,78.0,251.0,,,,1,1,0,3,,0,0,,31.3,36.6,7.2,33.0,5.0,0.0,1.757768228894256,1.6157655213475997,1.6867668751209275,5,0.6578947368421052,4.105882352941176,1.7184123999990772,4.337223480229925,5741.0,,,,,,22.0,22.0,1.0,249.0,11.3
22.0,72.0,247.0,4.53,41.0,131.0,1,1,0,1,6.629175779025411,5,1,117.30975853856673,,,,,5.0,0.0,-0.2647888771708405,1.445969053500593,0.5905900881648762,2,0.2666666666666666,4.434426229508197,1.7860233537478658,,,318.0,61.0,14.0,1685.0,5.3,13.0,42.0,1.0,195.0,15.0
23.0,77.0,255.0,4.8,34.5,114.0,1,0,0,1,3.579426484274577,6,1,96.0738570601852,,,,,5.0,0.0,1.4206753778834067,1.7855619891946064,1.6031186835390066,5,0.6666666666666666,4.105882352941176,1.7184123999990772,,,,,,,,,,,,
21.0,74.0,205.0,4.34,39.5,136.0,1,1,0,3,9.1402102671488,3,1,115.5646314647894,23.2,39.3,17.7,13.0,4.0,0.0,0.4093968248508584,-0.3368938588929776,0.0362514829789403,7,0.9210526315789472,3.888324873096447,2.0498172482106414,12.176514584891548,6685.0,2.0,5.0,0.0,1.0,0.5,51.0,62.0,10.0,813.0,15.9
23.0,69.0,190.0,,,,1,1,0,3,6.496003528710796,1,0,,15.6,34.5,18.8,15.0,5.0,0.0,-1.2760674302033888,-0.9736306133192528,-1.1248490217613207,7,0.9210526315789472,3.888324873096447,2.0498172482106414,15.425330812854444,5290.0,5.0,11.0,0.0,21.0,4.2,53.0,42.0,2.0,795.0,15.0
22.0,77.0,258.0,4.49,,,1,1,0,3,5.359906646995101,1,0,126.95924690532996,7.8,24.5,17.1,57.0,5.0,0.0,1.4206753778834067,1.912909340079861,1.666792358981634,5,0.6666666666666666,4.105882352941176,1.7184123999990772,6.813627254509018,4491.0,,,,,,26.0,36.0,6.0,306.0,11.8
22.0,75.0,211.0,4.41,40.5,129.0,1,1,0,3,6.44706447879814,5,1,111.57273858441638,21.2,37.5,15.9,54.0,5.0,0.0,0.7464896758617078,-0.0821991571224675,0.3321452593696201,7,0.875,3.888324873096447,2.0498172482106414,14.9922185716756,5783.0,,,,,,50.0,53.0,8.0,867.0,17.3
21.0,69.0,212.0,4.52,33.0,121.0,1,1,0,3,4.247745893301189,6,1,101.58091427189676,26.1,42.6,16.7,20.0,4.0,0.0,-1.2760674302033888,-0.0397500401607158,-0.6579087351820523,7,0.9210526315789472,3.888324873096447,2.0498172482106414,16.019900497512438,6030.0,,,,,,69.0,83.0,7.0,966.0,14.0
21.0,71.0,197.0,4.51,38.5,127.0,1,1,0,3,6.425376967475432,6,1,95.23356767038612,12.4,38.0,25.5,63.0,4.0,0.0,-0.6018817281816898,-0.676486794586991,-0.6391842613843404,7,0.9210526315789472,3.888324873096447,2.0498172482106414,19.12,2500.0,,,,,,41.0,48.0,7.0,478.0,11.7
23.0,75.0,205.0,4.43,39.0,128.0,1,1,0,1,6.95561658431496,6,1,106.45570780176352,,,,,5.0,0.0,0.7464896758617078,-0.3368938588929776,0.204797908484365,7,0.9210526315789472,3.888324873096447,2.0498172482106414,,,4.0,12.0,0.0,10.0,2.5,66.0,65.0,7.0,943.0,14.3
24.0,,,,,,0,0,0,1,,0,0,,,,,,5.0,0.0,,,,5,0.625,4.105882352941176,1.7184123999990772,,,,,,,,,,,,
23.0,68.0,174.0,4.39,39.5,129.0,1,1,0,3,7.567502406536233,4,1,93.69602422186716,26.2,45.0,18.2,52.0,5.0,0.0,-1.6131602812142385,-1.6528164847072797,-1.632988382960759,7,0.9210526315789472,3.888324873096447,2.0498172482106414,9.946236559139784,7440.0,4.0,11.0,0.0,22.0,5.5,44.0,75.0,2.0,718.0,16.3
22.0,,,,,,0,1,0,3,,0,0,,-6.3,26.3,30.3,27.0,5.0,0.0,,,,2,0.2666666666666666,4.434426229508197,1.7860233537478658,17.952450266860748,4122.0,114.0,80.0,8.0,614.0,5.4,17.0,39.0,1.0,126.0,7.4
21.0,72.0,186.0,4.27,32.0,123.0,1,1,0,3,5.129670850739422,5,1,111.90034867884242,12.6,33.0,20.7,5.0,4.0,0.0,-0.2647888771708405,-1.1434270811662597,-0.70410797916855,7,0.9210526315789472,3.888324873096447,2.0498172482106414,15.34441805225653,4210.0,4.0,1.0,0.0,-6.0,-1.5,54.0,91.0,3.0,652.0,12.1
23.0,74.0,199.0,4.47,33.5,123.0,1,1,0,3,4.845116658156508,5,1,99.6903175865284,7.8,41.7,35.0,57.0,5.0,0.0,0.4093968248508584,-0.5915885606634878,-0.0910958679063146,7,0.9210526315789472,3.888324873096447,2.0498172482106414,12.318616857054646,6478.0,,,,,,43.0,80.0,7.0,798.0,18.6
22.0,76.0,223.0,4.6,36.0,127.0,1,1,0,2,3.911666317263795,6,1,99.61013575566128,-2.6,29.3,32.0,125.0,5.0,0.0,1.0835825268725572,0.4271902464185526,0.7553863866455549,7,0.9333333333333332,3.888324873096447,2.0498172482106414,23.33683473389356,5712.0,,,,,,74.0,73.0,9.0,1333.0,18.0
22.0,72.0,228.0,4.39,35.0,118.0,1,1,0,2,4.430229924473407,4,1,122.77410070451558,18.0,39.5,23.4,71.0,5.0,0.0,-0.2647888771708405,0.6394358312273111,0.1873234770282353,2,0.2666666666666666,4.434426229508197,1.7860233537478658,14.710646443822704,6791.0,31.0,78.0,4.0,363.0,11.7,32.0,73.0,8.0,636.0,19.9
23.0,72.0,179.0,4.36,38.0,127.0,1,1,0,3,7.120253290311413,5,1,99.06883810989856,24.3,37.3,14.9,1.0,5.0,0.0,-0.2647888771708405,-1.4405708998985214,-0.8526798885346809,7,0.853658536585366,3.888324873096447,2.0498172482106414,13.916256157635468,5684.0,4.0,30.0,0.0,41.0,10.3,47.0,55.0,4.0,750.0,16.0
21.0,69.0,211.0,,,,1,1,0,1,,0,0,,,,,,4.0,0.0,-1.2760674302033888,-0.0821991571224675,-0.6791332936629282,2,0.2439024390243902,4.434426229508197,1.7860233537478658,,,344.0,77.0,29.0,2497.0,7.3,20.0,16.0,1.0,116.0,5.8
