player,year,team,career_av
A.J. Epenesa,2020,BUF,18.0
AJ Terrell,2020,ATL,31.0
Aaron Banks,2021,SFO,26.0
Aaron Robinson,2021,NYG,2.0
Abdul Carter,2025,NYG,4.0
Abraham Lucas,2022,SEA,22.0
Adetokunbo Ogundeji,2021,ATL,10.0
Adetomiwa Adebawore,2023,IND,6.0
Adisa Isaac,2024,BAL,0.0
Aeneas Peebles,2025,BAL,0.0
Ahmed Hassanein,2025,DET,
Aidan Hutchinson,2022,DET,31.0
Aireontae Ersery,2025,HOU,7.0
Ajani Cornelius,2025,DAL,0.0
Akayleb Evans,2022,MIN,7.0
Akeem Davis-Gaither,2020,CIN,14.0
Alex Austin,2023,BUF,3.0
Alex Forsyth,2023,DEN,4.0
Alex Highsmith,2020,PIT,35.0
Alex Leatherwood,2021,LVR,8.0
Alex Wright,2022,CLE,11.0
Alfred Collins,2025,SFO,2.0
Alijah Vera-Tucker,2021,NYJ,14.0
Alim McNeill,2021,DET,23.0
Alohi Gilman,2020,LAC,18.0
Alontae Taylor,2022,NOR,19.0
Alton Robinson,2020,SEA,4.0
Amare Barno,2022,CAR,2.0
Amari Burney,2023,LVR,2.0
Amarius Mims,2024,CIN,16.0
Ambry Thomas,2021,SFO,6.0
Ameer Speed,2023,NWE,0.0
Amik Robertson,2020,LVR,14.0
Anders Carlson,2023,GNB,3.0
Andre Anthony,2022,TAM,
Andre Cisco,2021,JAX,20.0
Andre Jones,2023,WAS,1.0
Andres Borregales,2025,NWE,2.0
Andrew Booth,2022,MIN,3.0
Andrew Mukuba,2025,PHI,3.0
Andrew Stueber,2022,NWE,1.0
Andrew Vorhees,2023,BAL,9.0
Andru Phillips,2024,NYG,6.0
Anfernee Jennings,2020,NWE,22.0
Anthony Bradford,2023,SEA,14.0
Anthony Johnson,2023,GNB,3.0
Antoine Brooks Jr.,2020,PIT,1.0
Antoine Winfield Jr.,2020,TAM,44.0
Anton Harrison,2023,JAX,23.0
Antonio Johnson,2023,JAX,10.0
Antwaun Powell-Ryland,2025,PHI,
Armand Membou,2025,NYJ,7.0
Arnold Ebiketie,2022,ATL,10.0
Asante Samuel Jr.,2021,LAC,15.0
Ashton Gillotte,2025,KAN,3.0
Ashtyn Davis,2020,NYJ,14.0
Asim Richards,2023,DAL,4.0
Atonio Mafi,2023,NWE,3.0
Austin Booker,2024,CHI,5.0
Avery Williams,2021,ATL,2.0
Azareye'h Thomas,2025,NYJ,2.0
Azeez Ojulari,2021,NYG,17.0
BJ Ojulari,2023,ARI,1.0
BJ Thompson,2023,KAN,0.0
Baron Browning,2021,DEN,18.0
Barrett Carter,2025,CIN,5.0
Barryn Sorrell,2025,GNB,2.0
Baylon Spector,2022,BUF,5.0
Beaux Limmer,2024,LAR,7.0
Ben Cleveland,2021,BAL,6.0
Ben Mason,2021,BAL,0.0
Benjamin Morrison,2025,TAM,2.0
Benjamin St-Juste,2021,WAS,14.0
Bernhard Raimann,2022,IND,25.0
Bilhal Kone,2025,BAL,
Billy Bowman,2025,ATL,1.0
Blake Fisher,2024,HOU,8.0
Blake Freeland,2023,IND,6.0
Bobby Brown,2021,LAR,16.0
Boogie Basham,2021,BUF,4.0
Boye Mafe,2022,SEA,16.0
Brad Robbins,2023,CIN,1.0
Braden Fiske,2024,LAR,14.0
Braden Mann,2020,NYJ,13.0
Bradlee Anae,2020,DAL,1.0
Brady Breeze,2021,TEN,0.0
Brady Christensen,2021,CAR,14.0
Bradyn Swinson,2025,NWE,0.0
Braeden Daniels,2023,WAS,
Bralen Trice,2024,ATL,
Brandin Echols,2021,NYJ,11.0
Brandon Coleman,2024,WAS,11.0
Brandon Dorlus,2024,ATL,5.0
Brandon Hill,2023,HOU,0.0
Brandon Jones,2020,MIA,21.0
Brandon Smith,2022,CAR,1.0
Brandon Stephens,2021,BAL,19.0
Branson Taylor,2025,LAC,0.0
Bravvion Roy,2020,CAR,9.0
Braxton Jones,2022,CHI,18.0
Brenden Jaimes,2021,LAC,5.0
Brennan Jackson,2024,LAR,1.0
Brian Asamoah,2022,MIN,3.0
Brian Branch,2023,DET,15.0
Brian Cole II,2020,MIN,
Broderick Jones,2023,PIT,18.0
Broderick Washington Jr.,2020,BAL,15.0
Brodric Martin,2023,DET,1.0
Bryan Bresee,2023,NOR,15.0
Bryan Cook,2022,KAN,18.0
Bryce Baringer,2023,NWE,9.0
Bryce Hall,2020,NYJ,10.0
Buddy Johnson,2021,PIT,2.0
Byron Murphy,2024,SEA,14.0
Byron Young,2023,LVR,2.0
Byron Young,2023,LAR,25.0
C.J. Henderson,2020,JAX,13.0
CJ West,2025,SFO,1.0
Cade Mays,2022,CAR,11.0
Cade York,2022,CLE,1.0
Caden Sterns,2021,DEN,3.0
Caedan Wallace,2024,NWE,1.0
Caelen Carson,2024,DAL,2.0
Caleb Farley,2021,TEN,2.0
Caleb Ransaw,2025,JAX,
Caleb Rogers,2025,LVR,2.0
Calen Bullock,2024,HOU,14.0
Calijah Kancey,2023,TAM,13.0
Cam Brown,2020,NYG,4.0
Cam Hart,2024,LAC,6.0
Cam Jackson,2025,CAR,1.0
Cam Jurgens,2022,PHI,20.0
Cam Little,2024,JAX,9.0
Cam Smith,2023,MIA,1.0
Cam Taylor-Britt,2022,CIN,15.0
Cameron Dantzler,2020,MIN,10.0
Cameron Goode,2022,MIA,2.0
Cameron McGrone,2021,NWE,2.0
Cameron Mitchell,2023,CLE,4.0
Cameron Sample,2021,CIN,7.0
Cameron Thomas,2022,ARI,4.0
Cameron Williams,2025,PHI,0.0
Cameron Young,2023,SEA,1.0
Camryn Bynum,2021,MIN,26.0
Carlos Davis,2020,PIT,1.0
Carrington Valentine,2023,GNB,10.0
Carson Bruener,2025,PIT,1.0
Carson Schwesinger,2025,CLE,8.0
Carter Coughlin,2020,NYG,5.0
Carter Warren,2023,NYJ,3.0
Casey Toohill,2020,PHI,11.0
Cassh Maluia,2020,NWE,1.0
Cedric Gray,2024,TEN,6.0
Cedric Johnson,2024,CIN,2.0
Chad Muma,2022,JAX,6.0
Chad Ryland,2023,NWE,5.0
Chamarri Conner,2023,KAN,14.0
Chance Campbell,2022,TEN,0.0
Channing Tindall,2022,MIA,3.0
Chapelle Russell,2020,TAM,2.0
Charles Cross,2022,SEA,28.0
Charles Grant,2025,LVR,1.0
Chase Lucas,2022,DET,2.0
Chase Lundt,2025,BUF,0.0
Chase Young,2020,WAS,29.0
Chau Smith-Wade,2024,CAR,5.0
Chauncey Golston,2021,DAL,12.0
Chazz Surratt,2021,MIN,6.0
Chop Robinson,2024,MIA,4.0
Chris Braswell,2024,TAM,2.0
Chris Claybrooks,2020,JAX,5.0
Chris Garrett,2021,LAR,0.0
Chris Jackson,2020,TEN,2.0
Chris Paul,2022,WAS,10.0
Chris Paul,2025,LAR,
Chris Rumph,2021,LAC,4.0
Chris Wilcox,2021,TAM,
Chris Williamson,2020,NYG,0.0
Christian Barmore,2021,NWE,17.0
Christian Benford,2022,BUF,19.0
Christian Braswell,2023,JAX,1.0
Christian Darrisaw,2021,MIN,26.0
Christian Gonzalez,2023,NWE,19.0
Christian Harris,2022,HOU,14.0
Christian Haynes,2024,SEA,2.0
Christian Holmes,2022,WAS,3.0
Christian Jones,2024,ARI,1.0
Christian Mahogany,2024,DET,6.0
Christian Matthew,2022,ARI,2.0
Christopher Smith,2023,LVR,3.0
Clark Phillips,2023,ATL,4.0
Clay Johnston,2020,LAR,2.0
Cobie Durant,2022,LAR,16.0
Coby Bryant,2022,SEA,13.0
Cody Lindenberg,2025,LVR,1.0
Cody Simon,2025,ARI,3.0
Colby Sorsdal,2023,DET,2.0
Colby Wooden,2023,GNB,8.0
Cole Bishop,2024,BUF,9.0
Cole Strange,2022,NWE,15.0
Cole Van Lanen,2021,GNB,9.0
Collin Oliver,2025,GNB,0.0
Connor Colby,2025,SFO,3.0
Cooper Beebe,2024,DAL,10.0
Cooper DeJean,2024,PHI,16.0
Cooper Hodges,2023,JAX,1.0
Cordale Flott,2022,NYG,12.0
Cory Trice,2023,PIT,1.0
Craig Woodson,2025,NWE,6.0
Creed Humphrey,2021,KAN,51.0
Curtis Brooks,2022,IND,
Curtis Weaver,2020,MIA,0.0
D'Marco Jackson,2022,NOR,6.0
D.J. Davidson,2022,NYG,5.0
D.J. James,2024,SEA,0.0
D.J. Wonnum,2020,MIN,26.0
