player,year,team,career_av
AJ Arcuri,2022,LAR,1.0
Andrew Thomas,2020,NYG,33.0
Anthony Belton,2025,GNB,5.0
Arlington Hambright,2020,CHI,1.0
Austin Deculus,2022,HOU,4.0
Austin Jackson,2020,MIA,24.0
Ben Bartch,2020,JAX,9.0
Ben Bredeson,2020,BAL,21.0
Blake Brandel,2020,MIN,15.0
Blake Ferguson,2020,MIA,4.0
Bryce Cabeldue,2025,SEA,1.0
C.J. Hanson,2024,KAN,0.0
Camaron Cheeseman,2021,WAS,3.0
Cameron Clark,2020,NYJ,
Carson Vinson,2025,BAL,1.0
Cesar Ruiz,2020,NOR,29.0
Chandler Zavala,2023,CAR,6.0
Charlie Heck,2020,HOU,15.0
Chasen Hines,2022,NWE,
Cody Mauch,2023,TAM,16.0
Colton McKivitz,2020,SFO,24.0
Cordell Volson,2022,CIN,22.0
D'Ante Smith,2021,CIN,1.0
Damien Lewis,2020,SEA,35.0
Daniel Faalele,2022,BAL,18.0
Danny Pinter,2020,IND,7.0
Darian Kinnard,2022,KAN,3.0
Dillon Radunz,2021,TEN,14.0
Drew Dalman,2021,ATL,25.0
Drew Kendall,2025,PHI,1.0
Dustin Woodard,2020,NWE,
Ed Ingram,2022,MIN,21.0
Elijah Klein,2024,TAM,2.0
Ezra Cleveland,2020,MIN,33.0
Garrett Dellinger,2025,BAL,0.0
Grey Zabel,2025,SEA,7.0
Hakeem Adeniji,2020,CIN,10.0
Ikem Ekwonu,2022,CAR,25.0
Isaiah Wilson,2020,TEN,0.0
Jack Driscoll,2020,PHI,12.0
Jack Nelson,2025,ATL,1.0
Jackson Carman,2021,CIN,5.0
Jake Hanson,2020,GNB,4.0
Jalen Travis,2025,IND,3.0
Jaylon Moore,2021,SFO,11.0
Jedrick Wills Jr.,2020,CLE,24.0
John Simpson,2020,LVR,28.0
Jon Runyan Jr.,2020,GNB,36.0
Jonah Jackson,2020,DET,32.0
Josh Jones,2020,ARI,17.0
Josh Myers,2021,GNB,32.0
Josiah Ezirim,2024,NOR,
Julian Ashby,2025,NWE,1.0
Justin Herron,2020,NWE,7.0
Keith Ismael,2020,WAS,3.0
Kevin Dotson,2020,PIT,32.0
Kyle Hinton,2020,MIN,3.0
Lachavious Simmons,2020,CHI,0.0
Landon Young,2021,NOR,9.0
Larnel Coleman,2021,MIA,0.0
Lloyd Cushenberry III,2020,DEN,26.0
Logan Stenberg,2020,DET,3.0
Lucas Niang,2020,KAN,8.0
Luke Fortner,2022,JAX,19.0
Luke Newman,2025,CHI,1.0
Matt Farniok,2021,DAL,2.0
Matt Hennessy,2020,ATL,11.0
Matt Lee,2024,CIN,2.0
Matt Peart,2020,NYG,7.0
Max Mitchell,2022,NYJ,7.0
Mekhi Becton,2020,NYJ,21.0
Michael Jerrell,2024,SEA,2.0
Michael Onwenu,2020,NWE,33.0
Miles Frazier,2025,DET,0.0
Myles Hinton,2025,PHI,
Netane Muti,2020,DEN,3.0
Nicholas Petit-Frere,2022,TEN,11.0
Nick Harris,2020,CLE,5.0
Nick Samac,2024,BAL,1.0
Olusegun Oluwatimi,2023,SEA,6.0
Prince Tega Wanogho,2020,PHI,1.0
Quinn Meinerz,2021,DEN,34.0
Robert Hunt,2020,MIA,30.0
Royce Newman,2021,GNB,14.0
Saahdiq Charles,2020,WAS,8.0
Shane Lemieux,2020,NYG,5.0
Simon Stepaniak,2020,GNB,
Solomon Kindley,2020,MIA,6.0
Steve Avila,2023,LAR,19.0
Thomas Fletcher,2021,CAR,
Travis Clayton,2024,BUF,
Travis Glover,2024,GNB,1.0
Tremayne Anchrum,2020,LAR,2.0
Trevor Penning,2022,NOR,15.0
Tristan Wirfs,2020,TAM,64.0
Tyler Biadasz,2020,DAL,36.0
Tyre Phillips,2020,BAL,11.0
Walker Little,2021,JAX,18.0
Will Campbell,2025,NWE,8.0
Zion Johnson,2022,LAC,25.0
