player,year,team,career_av
Aidan O'Connell,2023,LVR,10.0
Anthony Richardson,2023,IND,9.0
Bailey Zappe,2022,NWE,2.0
Ben DiNucci,2020,DAL,1.0
Bo Nix,2024,DEN,25.0
Brock Purdy,2022,SFO,44.0
Bryce Young,2023,CAR,23.0
C.J. Stroud,2023,HOU,33.0
Caleb Williams,2024,CHI,26.0
Cam Miller,2025,LVR,
Cam Ward,2025,TEN,7.0
Chris Oladokun,2022,PIT,1.0
Clayton Tune,2023,ARI,0.0
Cole McDonald,2020,TEN,
Davis Mills,2021,HOU,17.0
Desmond Ridder,2022,ATL,13.0
Devin Leary,2024,BAL,
Dillon Gabriel,2025,CLE,0.0
Dorian Thompson-Robinson,2023,CLE,2.0
Drake Maye,2024,NWE,26.0
Graham Mertz,2025,HOU,
Hendon Hooker,2023,DET,0.0
Ian Book,2021,NOR,0.0
J.J. McCarthy,2024,MIN,4.0
Jacob Eason,2020,IND,0.0
Jake Fromm,2020,BUF,1.0
Jake Haener,2023,NOR,1.0
Jake Luton,2020,JAX,2.0
Jalen Hurts,2020,PHI,79.0
Jalen Milroe,2025,SEA,0.0
James Morgan,2020,NYJ,
Jaren Hall,2023,MIN,1.0
Jaxson Dart,2025,NYG,11.0
Jayden Daniels,2024,WAS,26.0
Joe Burrow,2020,CIN,63.0
Joe Milton,2024,NWE,2.0
Jordan Love,2020,GNB,42.0
Jordan Travis,2024,NYJ,
Justin Fields,2021,CHI,44.0
Justin Herbert,2020,LAC,74.0
Kellen Mond,2021,MIN,0.0
Kenny Pickett,2022,PIT,14.0
Kurtis Rourke,2025,SFO,
Kyle McCord,2025,PHI,
Kyle Trask,2021,TAM,0.0
Mac Jones,2021,NWE,34.0
Malik Willis,2022,TEN,6.0
Matt Corral,2022,CAR,
Max Duggan,2023,LAC,
Michael Penix,2024,ATL,8.0
Michael Pratt,2024,GNB,
Nate Stanley,2020,MIN,
Quinn Ewers,2025,MIA,2.0
Riley Leonard,2025,IND,2.0
Sam Ehlinger,2021,IND,2.0
Sam Howell,2022,WAS,12.0
Sean Clifford,2023,GNB,0.0
Shedeur Sanders,2025,CLE,2.0
Skylar Thompson,2022,MIA,3.0
Spencer Rattler,2024,NOR,6.0
Stetson Bennett,2023,LAR,
Tanner McKee,2023,PHI,2.0
Tommy Mellott,2025,LVR,
Tommy Stevens,2020,NOR,0.0
Trevor Lawrence,2021,JAX,52.0
Trey Lance,2021,SFO,6.0
Tua Tagovailoa,2020,MIA,52.0
Tyler Shough,2025,NOR,7.0
Will Howard,2025,PIT,
Will Levis,2023,TEN,11.0
Zach Wilson,2021,NYJ,13.0
