player,year,team,career_av
A.T. Perry,2023,NOR,2.0
AJ Barner,2024,SEA,7.0
AJ Dillon,2020,GNB,24.0
Adam Trautman,2020,NOR,11.0
Adonai Mitchell,2024,IND,8.0
Ainias Smith,2024,PHI,1.0
Albert Okwuegbunam,2020,DEN,5.0
Alec Pierce,2022,IND,26.0
Amari Rodgers,2021,GNB,2.0
Amon-Ra St. Brown,2021,DET,57.0
Andrei Iosivas,2023,CIN,9.0
Andrew Ogletree,2022,IND,2.0
Anthony Gould,2024,IND,0.0
Anthony McFarland Jr.,2020,PIT,1.0
Anthony Schwartz,2021,CLE,2.0
Antoine Green,2023,DET,0.0
Antonio Gandy-Golden,2020,WAS,0.0
Antonio Gibson,2020,WAS,29.0
Arian Smith,2025,NYJ,1.0
Ashton Jeanty,2025,LVR,7.0
Audric Estime,2024,DEN,4.0
Ben Sinnott,2024,WAS,1.0
Ben Skowronek,2021,LAR,8.0
Bhayshul Tuten,2025,JAX,3.0
Bijan Robinson,2023,ATL,36.0
Blake Corum,2024,LAR,8.0
Bo Melton,2022,SEA,5.0
Braelon Allen,2024,NYJ,4.0
Brandon Aiyuk,2020,SFO,39.0
Brashard Smith,2025,KAN,3.0
Brayden Willis,2023,SFO,0.0
Breece Hall,2022,NYJ,28.0
Brenden Rice,2024,LAC,0.0
Brenton Strange,2023,JAX,8.0
Brevin Jordan,2021,HOU,4.0
Brian Robinson Jr.,2022,WAS,19.0
Brian Thomas,2024,JAX,18.0
Brittain Brown,2022,LVR,0.0
Brock Bowers,2024,LVR,14.0
Bryan Edwards,2020,LVR,6.0
Brycen Hopkins,2020,LAR,2.0
Bub Means,2024,NOR,1.0
Bucky Irving,2024,TAM,18.0
Cade Otton,2022,TAM,17.0
Cade Stover,2024,HOU,2.0
Caleb Lohner,2025,DEN,
Calvin Austin III,2022,PIT,12.0
Cam Akers,2020,LAR,13.0
Cam Skattebo,2025,NYG,5.0
Cameron Latu,2023,SFO,0.0
Casey Washington,2024,ATL,1.0
Cedric Tillman,2023,CLE,6.0
CeeDee Lamb,2020,DAL,65.0
Charlie Jones,2023,CIN,4.0
Charlie Kolar,2022,BAL,4.0
Charlie Woerner,2020,SFO,0.0
Chase Brown,2023,CIN,22.0
Chase Claypool,2020,PIT,19.0
Chig Okonkwo,2022,TEN,16.0
Chimere Dike,2025,TEN,5.0
Chris Evans,2021,CIN,2.0
Chris Olave,2022,NOR,27.0
Chris Rodriguez,2023,WAS,6.0
Christian Watson,2022,GNB,22.0
Chuba Hubbard,2021,CAR,27.0
Clyde Edwards-Helaire,2020,KAN,18.0
Colby Parkinson,2020,SEA,11.0
Cole Kmet,2020,CHI,25.0
Cole Turner,2022,WAS,1.0
Collin Johnson,2020,JAX,3.0
Colston Loveland,2025,CHI,7.0
Colton Dowell,2023,TEN,0.0
Connor Heyward,2022,PIT,3.0
Cornelius Johnson,2024,LAC,
Cornell Powell,2021,KAN,0.0
D'Andre Swift,2020,DET,44.0
D'Wayne Eskridge,2021,SEA,3.0
DJ Giddens,2025,IND,1.0
Dalton Keene,2020,NWE,0.0
Dalton Kincaid,2023,BUF,17.0
Dameon Pierce,2022,HOU,12.0
Damien Martinez,2025,SEA,
Daniel Bellinger,2022,NYG,9.0
Danny Gray,2022,SFO,0.0
Dareke Young,2022,SEA,0.0
Darnell Mooney,2020,CHI,33.0
Darnell Washington,2023,PIT,7.0
Darrynton Evans,2020,TEN,3.0
David Bell,2022,CLE,3.0
Davis Allen,2023,LAR,3.0
Dax Milne,2021,WAS,1.0
Dazz Newsome,2021,CHI,0.0
De'Von Achane,2023,MIA,31.0
DeMario Douglas,2023,NWE,12.0
DeVonta Smith,2021,PHI,47.0
DeWayne McBride,2023,MIN,
DeeJay Dallas,2020,SEA,7.0
Demetric Felton,2021,CLE,2.0
Denzel Mims,2020,NYJ,5.0
Derius Davis,2023,LAC,3.0
Deuce Vaughn,2023,DAL,1.0
Devaughn Vele,2024,DEN,6.0
Devin Asiasi,2020,NWE,0.0
Devin Culp,2024,TAM,1.0
Devin Duvernay,2020,BAL,12.0
Devin Neal,2025,NOR,2.0
Devontez Walker,2024,BAL,1.0
Dez Fitzpatrick,2021,TEN,0.0
Dezmon Patmon,2020,IND,0.0
Dominic Lovett,2025,DET,0.0
Donovan Peoples-Jones,2020,CLE,18.0
Dont'e Thornton,2025,LVR,1.0
Dontayvion Wicks,2023,GNB,13.0
Drake London,2022,ATL,32.0
Dyami Brown,2021,WAS,7.0
Dylan Laube,2024,LVR,0.0
Dylan Sampson,2025,CLE,3.0
Elic Ayomanor,2025,TEN,4.0
Elijah Arroyo,2025,SEA,2.0
Elijah Higgins,2023,MIA,6.0
Elijah Mitchell,2021,SFO,11.0
Elijah Moore,2021,NYJ,15.0
Emeka Egbuka,2025,TAM,9.0
Eno Benjamin,2020,ARI,4.0
Eric Gray,2023,NYG,1.0
Erick All,2024,CIN,1.0
Erik Ezukanma,2022,MIA,0.0
Evan Hull,2023,IND,0.0
Frank Darby,2021,ATL,0.0
Freddie Swain,2020,SEA,5.0
Gabe Davis,2020,BUF,28.0
Garrett Wilson,2022,NYJ,27.0
Gary Brightwell,2021,NYG,1.0
Gavin Bartholomew,2025,MIN,
George Pickens,2022,PIT,36.0
Gerrid Doaks,2021,MIA,
Grant Calcaterra,2022,PHI,5.0
Grant Dubose,2023,GNB,0.0
Greg Dulcich,2022,DEN,6.0
Gunnar Helm,2025,TEN,3.0
Harold Fannin,2025,CLE,5.0
Harrison Bryant,2020,CLE,7.0
Hassan Haskins,2022,TEN,2.0
Henry Ruggs III,2020,LVR,8.0
Hunter Long,2021,MIA,2.0
Ihmir Smith-Marsette,2021,MIN,4.0
Isaac Guerendo,2024,SFO,4.0
Isaac TeSlaa,2025,DET,2.0
Isaiah Coulter,2020,HOU,0.0
Isaiah Davis,2024,NYJ,5.0
Isaiah Hodgins,2020,BUF,6.0
Isaiah Likely,2022,BAL,15.0
Isaiah Spiller,2022,LAC,1.0
Isiah Pacheco,2022,KAN,21.0
Israel Abanikanda,2023,NYJ,1.0
J.K. Dobbins,2020,BAL,22.0
Ja'Lynn Polk,2024,NWE,1.0
Ja'Marr Chase,2021,CIN,58.0
Ja'Tavion Sanders,2024,CAR,5.0
Jack Bech,2025,LVR,2.0
Jackson Hawes,2025,BUF,2.0
Jacob Cowing,2024,SFO,1.0
Jacob Harris,2021,LAR,0.0
Jacory Croskey-Merritt,2025,WAS,6.0
Jaelon Darden,2021,TAM,0.0
Jahan Dotson,2022,WAS,12.0
Jaheim Bell,2024,NWE,0.0
Jahmyr Gibbs,2023,DET,40.0
Jake Ferguson,2022,DAL,19.0
Jake Funk,2021,LAR,0.0
Jalen Brooks,2023,DAL,2.0
Jalen Camp,2021,JAX,0.0
Jalen McMillan,2024,TAM,7.0
Jalen Nailor,2022,MIN,9.0
Jalen Reagor,2020,PHI,10.0
Jalen Royals,2025,KAN,0.0
Jalen Tolbert,2022,DAL,9.0
Jalin Hyatt,2023,NYG,3.0
Jamari Thrash,2024,CLE,1.0
James Cook,2022,BUF,43.0
James Mitchell,2022,DET,1.0
James Proche,2020,BAL,4.0
Jameson Williams,2022,DET,26.0
Jared Wiley,2024,KAN,0.0
Jarquez Hunter,2025,LAR,0.0
Jase McClellan,2024,ATL,0.0
Jason Huntley,2020,DET,0.0
Jauan Jennings,2020,SFO,21.0
Javon Baker,2024,NWE,0.0
Javonte Williams,2021,DEN,28.0
Jawhar Jordan,2024,HOU,1.0
Jaxon Smith-Njigba,2023,SEA,30.0
Jayden Higgins,2025,HOU,4.0
