pick,round,team,player,position,college,rank,trade_from,trade_to
1,1,LV,Fernando Mendoza,QB,Indiana,1,,
2,1,NYJ,David Bailey,EDGE,Texas Tech,3,,
3,1,KC,Arvell Reese,LB,Ohio State,3,ARI,KC
4,1,TEN,Jeremiyah Love,RB,Notre Dame,5,,
5,1,NYG,Sonny Styles,LB,Ohio State,8,,
6,1,CLE,Carnell Tate,WR,Ohio State,7,,
7,1,WAS,Mansoor Delane,CB,LSU,12,,
8,1,NO,Rueben Bain,EDGE,Miami (FL),10,,
9,1,ARI,Jordyn Tyson,WR,Arizona State,7,KC,ARI
10,1,NYG,Caleb Downs,S,Ohio State,4,,
11,1,MIA,Francis Mauigoa,OT,Miami (FL),22,,
12,1,DAL,Spencer Fano,OT,Utah,6,,
13,1,LAR,Makai Lemon,WR,USC,19,,
14,1,BAL,Olaivavega Ioane,IOL,Penn State,49,,
15,1,TB,Kenyon Sadiq,TE,Oregon,20,,
16,1,CHI,Monroe Freeling,OT,Georgia,72,NYJ,CHI
17,1,PHI,Dillon Thieneman,S,Oregon,41,DET,PHI
18,1,MIN,Jermod McCoy,CB,Tennessee,23,,
19,1,CAR,Blake Miller,OT,Clemson,30,,
20,1,IND,Akheem Mesidor,EDGE,Miami (FL),64,DAL,IND
21,1,PIT,Omar Cooper Jr.,WR,Indiana,34,,
22,1,LAC,Kadyn Proctor,OT,Alabama,13,,
23,1,DET,Emmanuel McNeil-Warren,S,Toledo,33,PHI,DET
24,1,CLE,KC Concepcion,WR,Texas A&M,17,,
25,1,NYJ,Keldric Faulk,EDGE,Auburn,26,CHI,NYJ
26,1,BUF,Caleb Lomu,OT,Utah,67,,
27,1,SF,Max Iheanachor,OT,Arizona State,47,,
28,1,HOU,Colton Hood,CB,Tennessee,36,,
29,1,ARI,Denzel Boston,WR,Washington,21,KC,ARI
30,1,MIA,Ty Simpson,QB,Alabama,54,,
31,1,GB,C.J. Allen,LB,Georgia,9,NE,GB
32,1,CIN,Jadarian Price,RB,Notre Dame,27,SEA,CIN
33,2,NYJ,TJ Hall,CB,Iowa,82,,
34,2,ARI,Malachi Lawrence,EDGE,UCF,30,,
35,2,TEN,Kayden McDonald,DL,Ohio State,105,,
36,2,LV,Justin Jefferson,LB,Alabama,71,,
37,2,NYG,Peter Woods,DL,Clemson,83,,
38,2,HOU,Zion Young,EDGE,Missouri,84,,
39,2,CLE,Avieon Terrell,CB,Clemson,34,,
40,2,KC,Germie Bernard,WR,Alabama,73,,
41,2,CIN,Bishop Fitzgerald,S,USC,39,,
42,2,NO,Gabe Jacas,EDGE,Illinois,68,,
