gm,team,position_group,team_pct,league_pct,delta,n_picks_total,tenure_start_effective
Howie Roseman,PHI,WR,0.2222222222222222,0.21,0.012222222222222218,9,2020
Howie Roseman,PHI,IDL,0.2222222222222222,0.15333333333333332,0.06888888888888889,9,2020
Howie Roseman,PHI,EDGE,0.0,0.11,-0.11,9,2020
Howie Roseman,PHI,LB,0.2222222222222222,0.10333333333333333,0.11888888888888888,9,2020
Howie Roseman,PHI,CB,0.1111111111111111,0.09,0.02111111111111111,9,2020
Howie Roseman,PHI,QB,0.1111111111111111,0.08333333333333333,0.027777777777777776,9,2020
Howie Roseman,PHI,RB,0.0,0.07,-0.07,9,2020
Howie Roseman,PHI,TE,0.0,0.056666666666666664,-0.056666666666666664,9,2020
Howie Roseman,PHI,OT,0.0,0.05333333333333334,-0.05333333333333334,9,2020
Howie Roseman,PHI,S,0.1111111111111111,0.05,0.0611111111111111,9,2020
Howie Roseman,PHI,C,0.0,0.01,-0.01,9,2020
Howie Roseman,PHI,G,0.0,0.01,-0.01,9,2020
Les Snead,LAR,WR,0.2857142857142857,0.21,0.0757142857142857,7,2020
Les Snead,LAR,IDL,0.2857142857142857,0.15333333333333332,0.13238095238095238,7,2020
Les Snead,LAR,EDGE,0.0,0.11,-0.11,7,2020
Les Snead,LAR,LB,0.0,0.10333333333333333,-0.10333333333333333,7,2020
Les Snead,LAR,CB,0.0,0.09,-0.09,7,2020
Les Snead,LAR,QB,0.0,0.08333333333333333,-0.08333333333333333,7,2020
Les Snead,LAR,RB,0.14285714285714285,0.07,0.07285714285714284,7,2020
Les Snead,LAR,TE,0.14285714285714285,0.056666666666666664,0.08619047619047618,7,2020
Les Snead,LAR,OT,0.0,0.05333333333333334,-0.05333333333333334,7,2020
Les Snead,LAR,S,0.0,0.05,-0.05,7,2020
Les Snead,LAR,C,0.14285714285714285,0.01,0.13285714285714284,7,2020
Les Snead,LAR,G,0.0,0.01,-0.01,7,2020
Duke Tobin,CIN,WR,0.2222222222222222,0.21,0.012222222222222218,9,2020
Duke Tobin,CIN,IDL,0.1111111111111111,0.15333333333333332,-0.04222222222222222,9,2020
Duke Tobin,CIN,EDGE,0.2222222222222222,0.11,0.11222222222222221,9,2020
Duke Tobin,CIN,LB,0.1111111111111111,0.10333333333333333,0.007777777777777772,9,2020
