player,position,school,independent_grade,pick_slot,modal_round,probability,most_likely_team,n_r1_landings,n_any_landings,mean_landing_pick,variance_landing_pick
Fernando Mendoza,QB,Indiana,-29.0,1,1,1.0,LV,50,50,1.0,0.0
Arvell Reese,LB,Ohio State,-27.0,2,1,0.42,NYJ,50,50,3.22,4.2516
David Bailey,EDGE,Texas Tech,-25.0,3,1,0.46,ARI,50,50,3.08,4.4336
Jeremiyah Love,RB,Notre Dame,-28.0,4,1,0.36,TEN,50,50,3.5,0.97
Jordyn Tyson,WR,Arizona State,-23.0,5,1,0.58,NO,50,50,4.76,0.4224
Francis Mauigoa,OT,Miami (FL),-21.0,6,1,0.74,CLE,45,45,10.44,47.5358
Sonny Styles,LB,Ohio State,-26.0,6,1,0.16,DAL,20,20,12.7,38.41
Mansoor Delane,CB,LSU,-16.0,7,1,0.92,WAS,50,50,7.5,3.01
Rueben Bain,EDGE,Miami (FL),-14.0,8,1,0.36,TEN,50,50,10.4,7.2
Kenyon Sadiq,TE,Oregon,-15.0,9,1,0.52,KC,50,50,10.0,3.64
Makai Lemon,WR,USC,-19.0,9,1,0.32,KC,50,50,9.98,4.6596
Spencer Fano,OT,Utah,-20.0,10,1,0.58,PIT,50,50,10.74,6.3924
Olaivavega Ioane,IOL,Penn State,-18.0,10,1,0.74,NYG,50,50,10.42,6.0036
Dillon Thieneman,S,Oregon,-12.0,14,1,0.44,CHI,50,50,12.68,2.3376
Caleb Downs,S,Ohio State,-24.0,14,1,0.24,BAL,50,50,14.16,7.1344
Kadyn Proctor,OT,Alabama,-13.0,15,1,0.4,TB,50,50,14.06,2.9764
Carnell Tate,WR,Ohio State,-22.0,16,1,0.4,LAR,50,50,15.98,4.5796
Monroe Freeling,OT,Georgia,-17.0,16,1,0.32,CLE,50,50,16.04,28.9984
Derrick Moore,EDGE,Michigan,24.0,17,1,0.42,DET,27,50,58.98,2131.2996
Jaishawn Barham,LB,Michigan,26.0,17,1,0.4,DET,36,50,38.26,1177.5524
C.J. Allen,LB,Georgia,72.0,18,1,0.54,MIN,47,47,19.02,1.9357
Omar Cooper Jr.,WR,Indiana,5.0,19,1,0.5,CAR,50,50,19.56,1.2064
Zachariah Branch,WR,Georgia,10.0,21,1,0.28,MIA,50,50,23.5,8.65
Emmanuel Pregnon,IOL,Oregon,4.0,22,1,0.4,HOU,23,50,74.84,2641.5344
