player,position,college,consensus_rank,pick_slot,probability,most_likely_team,n_r1_landings,mean_landing_pick,variance_landing_pick
Fernando Mendoza,QB,Indiana,1,1,1.0,LV,10,1.0,0.0
David Bailey,EDGE,Texas Tech,3,2,0.6,NYJ,10,2.9,3.09
Arvell Reese,LB,Ohio State,2,2,0.4,NYJ,10,3.4,6.639999999999999
Arvell Reese,LB,Ohio State,2,3,0.5,ARI,10,3.4,6.639999999999999
David Bailey,EDGE,Texas Tech,3,3,0.3,ARI,10,2.9,3.09
Francis Mauigoa,OT,Miami (FL),6,3,0.1,ARI,10,7.3,9.010000000000002
Sonny Styles,LB,Ohio State,5,3,0.1,ARI,10,5.0,1.8
Jeremiyah Love,RB,Notre Dame,4,4,0.5,TEN,10,6.3,9.809999999999999
Sonny Styles,LB,Ohio State,5,4,0.4,TEN,10,5.0,1.8
Caleb Downs,S,Ohio State,8,4,0.1,TEN,10,8.2,6.56
Francis Mauigoa,OT,Miami (FL),6,5,0.4,NYG,10,7.3,9.010000000000002
Jeremiyah Love,RB,Notre Dame,4,5,0.2,NYG,10,6.3,9.809999999999999
Carnell Tate,WR,Ohio State,7,5,0.1,TEN,10,6.4,0.44000000000000006
Sonny Styles,LB,Ohio State,5,5,0.1,NYG,10,5.0,1.8
Mansoor Delane,CB,LSU,10,5,0.1,CIN,10,9.5,2.65
Caleb Downs,S,Ohio State,8,5,0.1,DAL,10,8.2,6.56
Carnell Tate,WR,Ohio State,7,6,0.4,CLE,10,6.4,0.44000000000000006
Sonny Styles,LB,Ohio State,5,6,0.2,DAL,10,5.0,1.8
Rueben Bain,EDGE,Miami (FL),9,6,0.2,NYG,10,7.7,0.8099999999999999
Caleb Downs,S,Ohio State,8,6,0.1,DAL,10,8.2,6.56
Monroe Freeling,OT,Georgia,13,6,0.1,CLE,10,13.3,17.009999999999998
Carnell Tate,WR,Ohio State,7,7,0.5,WAS,10,6.4,0.44000000000000006
Sonny Styles,LB,Ohio State,5,7,0.2,WAS,10,5.0,1.8
Caleb Downs,S,Ohio State,8,7,0.2,WAS,10,8.2,6.56
Makai Lemon,WR,USC,12,7,0.1,WAS,10,14.0,24.2
Rueben Bain,EDGE,Miami (FL),9,8,0.7,NO,10,7.7,0.8099999999999999
Francis Mauigoa,OT,Miami (FL),6,8,0.2,NO,10,7.3,9.010000000000002
David Bailey,EDGE,Texas Tech,3,8,0.1,NO,10,2.9,3.09
Jordyn Tyson,WR,Arizona State,15,9,0.6,KC,10,11.2,9.96
Mansoor Delane,CB,LSU,10,9,0.2,KC,10,9.5,2.65
Rueben Bain,EDGE,Miami (FL),9,9,0.1,KC,10,7.7,0.8099999999999999
Makai Lemon,WR,USC,12,9,0.1,KC,10,14.0,24.2
Mansoor Delane,CB,LSU,10,10,0.5,CIN,10,9.5,2.65
Caleb Downs,S,Ohio State,8,10,0.2,NYG,10,8.2,6.56
Jeremiyah Love,RB,Notre Dame,4,10,0.1,CIN,10,6.3,9.809999999999999
Jermod McCoy,CB,Tennessee,14,10,0.1,CIN,10,15.8,6.76
Peter Woods,DL,Clemson,29,10,0.1,CIN,4,15.0,11.0
Caleb Downs,S,Ohio State,8,11,0.3,MIA,10,8.2,6.56
Francis Mauigoa,OT,Miami (FL),6,11,0.2,MIA,10,7.3,9.010000000000002
Mansoor Delane,CB,LSU,10,11,0.2,MIA,10,9.5,2.65
Arvell Reese,LB,Ohio State,2,11,0.1,MIA,10,3.4,6.639999999999999
Jeremiyah Love,RB,Notre Dame,4,11,0.1,NYJ,10,6.3,9.809999999999999
Monroe Freeling,OT,Georgia,13,11,0.1,MIA,10,13.3,17.009999999999998
Monroe Freeling,OT,Georgia,13,12,0.5,CLE,10,13.3,17.009999999999998
Keldric Faulk,EDGE,Auburn,20,12,0.3,DAL,10,17.5,20.45
Jeremiyah Love,RB,Notre Dame,4,12,0.1,CLE,10,6.3,9.809999999999999
Francis Mauigoa,OT,Miami (FL),6,12,0.1,CLE,10,7.3,9.010000000000002
Makai Lemon,WR,USC,12,13,0.6,LAR,10,14.0,24.2
Jordyn Tyson,WR,Arizona State,15,13,0.3,LAR,10,11.2,9.96
Keldric Faulk,EDGE,Auburn,20,13,0.1,NYJ,10,17.5,20.45
Kenyon Sadiq,TE,Oregon,17,14,0.8,BAL,9,14.555555555555555,2.4691358024691357
Spencer Fano,OT,Utah,11,14,0.1,BAL,10,19.4,3.6399999999999997
Peter Woods,DL,Clemson,29,14,0.1,BAL,4,15.0,11.0
Olaivavega Ioane,IOL,Penn State,16,15,0.4,TB,10,17.0,4.8
Jermod McCoy,CB,Tennessee,14,15,0.3,TB,10,15.8,6.76
Akheem Mesidor,EDGE,Miami (FL),21,15,0.2,TB,7,19.714285714285715,9.061224489795919
Cashius Howell,EDGE,Texas A&M,33,15,0.1,TB,4,24.5,34.25
Jermod McCoy,CB,Tennessee,14,16,0.4,NYJ,10,15.8,6.76
Colton Hood,CB,Tennessee,35,16,0.2,LAR,9,26.22222222222222,29.950617283950617
Chris Johnson,CB,San Diego State,38,16,0.2,NYJ,6,24.833333333333332,43.47222222222222
