rank,player,position,college,_match_score,_matched_name,_matched_team,def_int,def_int_avg,def_int_td,def_int_yds,def_pd,def_qb_hur,def_sacks,def_solo,def_tfl,def_tot,defensive_td,pass_att,pass_cmp,pass_cmp_pct,pass_int,pass_td,pass_yds,pass_ypa,rec,rec_long,rec_td,rec_yds,rec_ypr,rush_att,rush_long,rush_td,rush_yds,rush_ypc,position_group,combine_invite,height,weight,40_yard,vertical,bench_press,broad_jump,three_cone,shuttle,age,age_estimated,has_passing,has_rushing,has_receiving,has_defensive,has_college_stats,ras_score,ras_drills_used,ras_reliable,speed_score,college_sp_plus,college_sp_offense,college_sp_defense,college_sos,position_rank,positions_ahead,draft_class_position_depth,years_in_college,is_underclassman,experience_score,height_z,weight_z,size_score,team_total_yards,dominator_rating,td_int_ratio,yards_per_attempt,completion_pct,dual_threat_score,college_starts_sweet_spot,conference_tier,boards_count,rank_high,rank_low,rank_stddev,rank_range,visit_count,top30_visit_flag,visited_teams,visit_cancelled_flag,stock_direction,senior_bowl_standout,senior_bowl_invite,cfp_participant,injury_dnp_flag,acl_flag,shoulder_flag,spine_flag,has_injury_flag,heisman_flag,major_award_flag,pff_minus_consensus,pff_grade_3yr,pff_waa,trajectory_up_down,intel_link_max,intel_top_team,first_round_mock_rate,drill_missing_40,drill_missing_vertical,drill_missing_broad,positional_value_prior,positional_value_adjusted,is_position_rank_1,position_gap_to_next,position_elite_flag,positional_value_tension,position_historical_round_avg,position_historical_round_std,visit_exclusivity,market_consensus_score,position_scarcity_vs_historical,pff_rank,explosion_index,sack_projection_proxy,consensus_pct_within_position,scouts_grade_primary,scouts_grade_secondary,scouts_grade_proxy,analyst_disagreement_flag,analyst_herding_score,late_consensus_move,betting_implied_prob
1.0,Fernando Mendoza,QB,Indiana,100.0,Fernando Mendoza,Indiana,,,,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,316.0,226.0,0.715,6.0,33.0,2980.0,9.4,,,,,,69.0,20.0,6.0,240.0,3.5,QB,1,,236.0,,,,,,,21.0,1,1,1,0,1,1,,0,0,,32.4,40.8,9.9,10.0,1,0,37,4.0,0.0,40.0,,1.9221547029976824,1.9221547029976824,,,5.5,9.430379746835444,71.51898734177216,150.0,0.0,3,,,,,,2,1,"LAC,LV",0,-1,1,1,1,1,0,0,1,1,0,0,0.0,91.6,,,3,LV,0.5,1,1,1,10,2.127659574468085,1,33,1,0,3.788732394366197,2.2735465872743936,0,0.9710964498900408,-11.776765859603485,1.0,,,1.0,91.6,100.0,91.6,0,1.0,1,0.0099009900990099
2.0,Arvell Reese,LB,Ohio State,100.0,Arvell Reese,Ohio State,,,,,2.0,4.0,6.5,31.0,10.0,62.0,0.0,,,,,,,,,,,,,,,,,,DEF,1,,241.0,4.46,,,,,,21.0,1,0,0,0,1,1,0.0,1,1,,30.1,37.6,7.7,20.0,1,0,437,4.0,0.0,40.0,,0.1064409340819426,0.1064409340819426,,,,,,,,3,,,,,,2,1,"ATL,CLE",0,0,0,0,1,1,0,0,0,1,0,0,0.0,75.8,,,3,NYJ,0.5,1,0,1,5,0.1118568232662192,1,1,0,0,4.166666666666667,1.8347152500215944,0,0.9701539428212378,-6.086976429335179,2.0,,,1.0,75.8,100.0,75.8,0,1.0,0,0.0099009900990099
3.0,David Bailey,EDGE,Texas Tech,100.0,David Bailey,Texas Tech,,,,,1.0,10.0,13.5,27.0,17.5,42.0,0.0,,,,,,,,,,,,,,,,,,DEF,1,,251.0,4.5,35.0,,117.0,,,22.0,1,0,0,0,1,1,0.0,2,1,,27.6,39.3,12.3,46.0,2,1,437,5.0,0.0,50.0,,0.3407993800959898,0.3407993800959898,,,,,,,,3,,,,,,2,1,"ARI,CIN",0,0,0,0,1,1,0,0,0,1,0,0,3.0,93.3,,,3,ARI,0.5,1,0,0,9,0.2013422818791946,0,0,0,0,,,0,0.9692114357524348,,6.0,,,1.0,93.3,100.0,93.3,0,0.25,0,0.3846153846153846
4.0,Jeremiyah Love,RB,Notre Dame,100.0,Jeremiyah Love,Notre Dame,,,,,,,,,,,,,,,,,,,27.0,36.0,3.0,280.0,10.4,199.0,94.0,18.0,1372.0,6.9,SKILL,1,72.0,212.0,4.36,,,,,,21.0,1,0,1,1,0,1,0.0,1,1,,24.4,40.0,16.3,47.0,1,0,192,4.0,0.0,40.0,-0.2647888771708405,-0.0397500401607158,-0.1522694586657781,5514.0,29.960101559666303,,,,,,3,,,,,,1,1,CIN,1,-1,0,0,0,1,0,0,0,1,0,0,-1.0,93.1,,1.0,3,TEN,0.5,1,0,1,2,0.099009900990099,1,3,0,1,4.434426229508197,1.7860233537478658,0,0.9682689286836318,-10.41694871413028,3.0,,,1.0,93.1,100.0,93.1,0,0.5,1,0.1111111111111111
5.0,Sonny Styles,LB,Ohio State,100.0,Sonny Styles,Ohio State,1.0,5.0,0.0,5.0,3.0,4.0,0.5,45.0,5.0,81.0,0.0,,,,,,,,,,,,,,,,,,DEF,1,77.0,244.0,4.46,43.5,4.26,134.0,7.09,4.26,22.0,1,0,0,0,1,1,9.99,4,1,,30.1,37.6,7.7,20.0,3,2,437,5.0,0.0,50.0,1.467753232339812,0.1767484678861568,0.8222508501129845,,,,,,,,3,,,,,,2,1,"CIN,CLE",1,0,0,0,1,1,0,0,0,1,0,0,-1.0,88.6,,,0,,0.5,1,0,0,5,0.1118568232662192,0,0,0,0,4.166666666666667,1.8347152500215944,0,0.8529688972667295,-6.086976429335179,4.0,,,0.9821428571428572,88.6,98.21428571428572,88.6,0,0.5,0,0.4545454545454545
6.0,Francis Mauigoa,OT,Miami (FL),100.0,Francis Mauigoa,Miami,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,1.0,3.0,3.0,OL,1,77.5,329.0,5.12,29.0,,106.0,7.7,4.59,21.0,1,0,1,0,0,1,,0,1,,20.7,34.2,14.3,7.0,1,0,62,4.0,0.0,40.0,0.4496400577127556,1.198337756298524,0.8239889070056399,,,,,,,,3,,,,,,1,1,CIN,0,0,0,0,1,1,0,0,0,1,0,0,1.0,83.6,,,0,,0.5,1,1,1,8,1.1111111111111112,1,5,0,0,5.0,2.273030282830976,1,0.8520263901979265,-16.420433326518232,7.0,,,1.0,82.6,100.0,82.6,0,0.5,0,0.4444444444444444
7.0,Carnell Tate,WR,Ohio State,100.0,Carnell Tate,Ohio State,,,,,0.0,0.0,0.0,3.0,0.0,3.0,0.0,,,,,,,,48.0,57.0,9.0,838.0,17.5,2.0,8.0,0.0,16.0,8.0,SKILL,1,,192.0,4.53,,,,,,21.0,1,0,1,1,1,1,0.0,1,1,,30.1,37.6,7.7,20.0,2,1,192,4.0,0.0,40.0,,-0.8887323793957494,-0.8887323793957494,5922.0,14.420803782505912,,,,,,3,,,,,,2,1,"CLE,DAL",0,1,0,0,1,1,0,0,0,1,0,0,3.0,88.6,,1.0,2,WAS,0.5,1,0,1,7,0.3465346534653465,0,0,0,0,3.888324873096447,2.0498172482106414,0,0.927322232694523,-23.153510187736227,10.0,,,1.0,88.6,100.0,88.6,0,0.25,1,0.0109890109890109
8.0,Caleb Downs,S,Ohio State,100.0,Caleb Downs,Ohio State,2.0,0.0,0.0,0.0,1.0,1.0,1.0,40.0,5.0,60.0,0.0,,,,,,,,,,,,,,,,,,DEF,1,,206.0,4.52,35.5,,,,,21.0,1,0,0,0,1,1,,0,1,,30.1,37.6,7.7,20.0,4,3,437,4.0,0.0,40.0,,-0.7138136269672225,-0.7138136269672225,,,,,,,,3,,,,,,1,1,CIN,0,1,0,0,1,1,0,0,0,1,0,0,0.0,87.5,,,3,DAL,0.5,1,1,1,4,0.0894854586129753,0,0,0,1,4.557692307692308,1.8933678007611927,0,0.9644989004084196,-5.27476736280448,8.0,,,1.0,87.5,100.0,87.5,0,1.0,1,0.0151515151515151
9.0,Rueben Bain,EDGE,Miami (FL),95.0,Rueben Bain Jr.,Miami,1.0,12.0,0.0,12.0,1.0,4.0,4.5,19.0,7.5,37.0,0.0,,,,,,,,,,,,,,,,,,DEF,1,,263.0,,,,,,,21.0,1,0,0,0,1,1,,0,0,,20.7,34.2,14.3,7.0,5,4,437,4.0,0.0,40.0,,0.6220295153128464,0.6220295153128464,,,,,,,,3,,,,,,1,1,CIN,1,0,1,1,1,1,0,0,0,1,0,0,-4.0,92.8,,,2,CIN,0.5,1,1,1,9,0.2013422818791946,0,0,0,0,,,0,0.925437218556917,,5.0,,,0.9875,92.8,98.75,92.8,0,0.2,0,0.4545454545454545
10.0,Mansoor Delane,CB,LSU,100.0,Mansoor Delane,LSU,2.0,0.0,0.0,0.0,11.0,1.0,0.0,29.0,0.0,45.0,0.0,,,,,,,,,,,,,,,,,,DEF,1,,187.0,4.38,,,,,,22.0,1,0,0,0,1,1,,0,1,,10.3,25.8,16.1,12.0,6,5,437,5.0,0.0,50.0,,-1.1590946743939123,-1.1590946743939123,,,,,,,,3,,,,,,2,1,"BUF,CIN",0,0,0,0,0,1,0,0,0,1,0,0,-1.0,90.5,,,0,,0.5,1,1,1,7,0.1565995525727069,0,0,0,0,4.191304347826087,1.959661858470061,1,0.8482563619227145,-12.273501994074577,9.0,,,1.0,90.5,100.0,90.5,0,0.5,0,0.0277777777777777
