pick_number,round,team,cap_space_2026,dead_money,new_hc_flag,hc_name,hc_coaching_tree,gm_name,trade_up_rate,trade_down_rate,gm_data_reliable,need_1,need_2,need_3,fa_addressed_positions,need_eliminated_flag,trade_risk_flag,elevated_trade_flag,future_firsts_owned,pick_range_trade_rate,gm_small_sample_flag,draft_capital_volume,capital_abundance_flag,wins,losses,ties,win_pct,bpa_weight,need_weight,qb_name,qb_years_remaining,qb_urgency
1,1,LV,,,1,Kubiak,Shanahan,John Spytek,0.5,0.5,0,,,,,0,0.0,0,2,0.15,1,10,1.0,3.0,14.0,0.0,0.1764705882352941,0.7,0.3,Aidan O'Connell,2,1.0
2,1,NYJ,,,0,,,Darren Mougey,0.5,0.5,0,,,,,0,0.0,1,4,0.15,1,9,1.0,3.0,14.0,0.0,0.1764705882352941,0.7,0.3,Geno Smith,2,1.0
3,1,ARI,,,1,LaFleur,McVay-Shanahan,Monti Ossenfort,0.5,0.5,1,,,,,0,0.0,0,2,0.15,0,7,0.5,3.0,14.0,0.0,0.1764705882352941,0.7,0.3,Jacoby Brissett,2,1.0
4,1,TEN,,,0,,,Mike Borgonzi,0.5,0.5,0,,,,,0,0.0,0,2,0.15,1,9,1.0,3.0,14.0,0.0,0.1764705882352941,0.7,0.3,Cam Ward,4,1.0
5,1,NYG,,,1,Harbaugh,Michigan-Harbaugh,Joe Schoen,0.4,0.6,1,,,,,0,0.0,1,2,0.15,0,8,1.0,4.0,13.0,0.0,0.2352941176470588,0.7,0.3,Jaxson Dart,4,1.0
6,1,CLE,,,1,Monken,Stefanski,Andrew Berry,0.5,0.5,1,,,,,0,0.0,0,3,0.15,0,9,1.0,5.0,12.0,0.0,0.2941176470588235,0.7,0.3,Deshaun Watson,2,0.0
7,1,WAS,,,0,,,Adam Peters,0.5,0.5,1,,,,,0,0.0,0,1,0.15,0,6,0.5,5.0,12.0,0.0,0.2941176470588235,0.7,0.3,Jayden Daniels,3,1.0
8,1,NO,,,0,,,Mickey Loomis,1.0,0.0,1,,,,,0,0.0,0,2,0.15,0,8,1.0,6.0,11.0,0.0,0.3529411764705882,0.7,0.3,Tyler Shough,4,1.0
9,1,KC,,,0,,,Brett Veach,0.75,0.4,1,,,,,0,0.0,0,3,0.15,0,9,1.0,6.0,11.0,0.0,0.3529411764705882,0.7,0.3,Patrick Mahomes,7,0.0
10,1,NYG,,,1,Harbaugh,Michigan-Harbaugh,Joe Schoen,0.3,0.7,1,,,,,0,0.0,1,2,0.15,0,8,1.0,4.0,13.0,0.0,0.2352941176470588,0.7,0.3,Jaxson Dart,4,1.0
11,1,MIA,,,1,Hafley,defensive-specialist,Jon-Eric Sullivan,0.5,0.5,0,,,,,0,0.5,0,3,0.3,1,11,1.0,7.0,10.0,0.0,0.4117647058823529,0.5,0.5,Malik Willis,4,1.0
12,1,DAL,,,0,,,Jerry Jones,0.7,0.3,1,,,,,0,0.5,1,2,0.3,0,8,1.0,7.0,9.0,1.0,0.4411764705882353,0.5,0.5,Dak Prescott,4,0.0
13,1,LAR,,,0,,,Les Snead,0.11,0.89,1,,,,,0,0.5,0,2,0.3,0,7,0.5,,,,,0.5,0.5,Matt Stafford,2,0.0
14,1,BAL,,,1,Minter,Harbaugh-def,Eric DeCosta,0.5,0.5,1,,,,,0,0.5,0,2,0.3,0,11,1.0,8.0,9.0,0.0,0.4705882352941176,0.5,0.5,Lamar Jackson,3,0.0
