team,position,player_count,target_depth,deficit,need_rank
ARI,QB,3,3,0,1
ARI,RB,5,3,0,2
ARI,WR,10,5,0,3
ARI,TE,4,3,0,4
ARI,OL,12,8,0,5
ARI,DL,5,5,0,6
ARI,EDGE,6,4,0,7
ARI,LB,8,5,0,8
ARI,CB,10,5,0,9
ARI,S,5,4,0,10
ATL,DL,3,5,2,1
ATL,QB,2,3,1,2
ATL,RB,3,3,0,3
ATL,WR,7,5,0,4
ATL,TE,4,3,0,5
ATL,OL,11,8,0,6
ATL,EDGE,6,4,0,7
ATL,LB,10,5,0,8
ATL,CB,9,5,0,9
ATL,S,6,4,0,10
BAL,DL,1,5,4,1
BAL,QB,2,3,1,2
BAL,TE,2,3,1,3
BAL,RB,4,3,0,4
BAL,WR,6,5,0,5
BAL,OL,10,8,0,6
BAL,EDGE,6,4,0,7
BAL,LB,10,5,0,8
BAL,CB,9,5,0,9
BAL,S,4,4,0,10
BUF,DL,1,5,4,1
BUF,QB,3,3,0,2
BUF,RB,4,3,0,3
BUF,WR,8,5,0,4
BUF,TE,4,3,0,5
BUF,OL,11,8,0,6
BUF,EDGE,6,4,0,7
BUF,LB,11,5,0,8
BUF,CB,7,5,0,9
BUF,S,6,4,0,10
CAR,DL,2,5,3,1
CAR,S,3,4,1,2
CAR,QB,3,3,0,3
CAR,RB,5,3,0,4
CAR,WR,10,5,0,5
CAR,TE,5,3,0,6
CAR,OL,12,8,0,7
CAR,EDGE,4,4,0,8
CAR,LB,15,5,0,9
CAR,CB,8,5,0,10
CHI,QB,3,3,0,1
CHI,RB,5,3,0,2
CHI,WR,6,5,0,3
CHI,TE,5,3,0,4
CHI,OL,12,8,0,5
CHI,DL,5,5,0,6
CHI,EDGE,7,4,0,7
CHI,LB,7,5,0,8
CHI,CB,9,5,0,9
CHI,S,4,4,0,10
CIN,QB,2,3,1,1
CIN,RB,5,3,0,2
CIN,WR,10,5,0,3
CIN,TE,5,3,0,4
CIN,OL,11,8,0,5
CIN,DL,7,5,0,6
CIN,EDGE,6,4,0,7
CIN,LB,6,5,0,8
CIN,CB,7,5,0,9
CIN,S,5,4,0,10
CLE,EDGE,3,4,1,1
CLE,QB,3,3,0,2
CLE,RB,4,3,0,3
CLE,WR,8,5,0,4
CLE,TE,5,3,0,5
CLE,OL,13,8,0,6
CLE,DL,5,5,0,7
CLE,LB,7,5,0,8
CLE,CB,6,5,0,9
CLE,S,4,4,0,10
DAL,DL,2,5,3,1
DAL,EDGE,3,4,1,2
DAL,QB,3,3,0,3
DAL,RB,6,3,0,4
DAL,WR,7,5,0,5
DAL,TE,4,3,0,6
DAL,OL,12,8,0,7
DAL,LB,10,5,0,8
DAL,CB,8,5,0,9
DAL,S,6,4,0,10
DEN,DL,3,5,2,1
DEN,QB,3,3,0,2
DEN,RB,7,3,0,3
DEN,WR,6,5,0,4
DEN,TE,5,3,0,5
DEN,OL,14,8,0,6
DEN,EDGE,6,4,0,7
DEN,LB,13,5,0,8
DEN,CB,7,5,0,9
DEN,S,4,4,0,10
DET,QB,2,3,1,1
DET,EDGE,3,4,1,2
DET,LB,4,5,1,3
DET,RB,6,3,0,4
DET,WR,7,5,0,5
DET,TE,5,3,0,6
DET,OL,13,8,0,7
DET,DL,5,5,0,8
DET,CB,7,5,0,9
DET,S,6,4,0,10
GB,DL,4,5,1,1
GB,QB,3,3,0,2
GB,RB,5,3,0,3
GB,WR,10,5,0,4
GB,TE,6,3,0,5
GB,OL,13,8,0,6
GB,EDGE,7,4,0,7
GB,LB,13,5,0,8
GB,CB,9,5,0,9
GB,S,5,4,0,10
HOU,QB,3,3,0,1
HOU,RB,4,3,0,2
HOU,WR,8,5,0,3
HOU,TE,6,3,0,4
HOU,OL,10,8,0,5
HOU,DL,5,5,0,6
HOU,EDGE,7,4,0,7
HOU,LB,6,5,0,8
HOU,CB,9,5,0,9
HOU,S,6,4,0,10
IND,LB,4,5,1,1
IND,QB,4,3,0,2
IND,RB,3,3,0,3
IND,WR,7,5,0,4
IND,TE,4,3,0,5
IND,OL,13,8,0,6
IND,DL,6,5,0,7
IND,EDGE,6,4,0,8
IND,CB,8,5,0,9
