group,fold,n_train,n_test,mae,spearman
QB,2023,32,14,59.634452989686324,0.2
QB,2024,46,11,72.03298537387283,0.7818181818181819
QB,2025,57,14,70.63154915124015,0.6131868131868132
SKILL,2023,200,66,58.086569438437536,0.4565494207285252
SKILL,2024,266,66,45.21159862114939,0.5159169189019935
SKILL,2025,332,72,58.249532773612245,0.5029262331982766
OL,2023,75,4,54.987875281454635,0.7999999999999999
OL,2024,79,8,64.31546521810938,-0.8571428571428572
OL,2025,87,13,48.739377309126375,0.5494505494505494
DEF,2023,469,175,52.93015559393048,0.49415500120641487
DEF,2024,644,172,50.43983942061706,0.5600875424210479
DEF,2025,816,158,51.19096503796234,0.527682742610963
