group,feature,mean_abs_shap
QB,pass_yds,36.20967317398209
QB,years_in_college,24.169191660427586
QB,age,9.886732761324184
QB,weight,4.272283050462929
QB,height,2.1963594452609576
SKILL,age,15.14281177520752
SKILL,ras_score,11.558685302734375
SKILL,weight,8.091550827026367
SKILL,rec_yds,7.249966144561768
SKILL,positional_value_adjusted,6.692570686340332
SKILL,dominator_rating,5.300101280212402
SKILL,rec_long,5.174473285675049
SKILL,speed_score,4.297996997833252
SKILL,rec_td,4.1291117668151855
SKILL,college_sos,3.8587663173675537
OL,age,17.835643768310547
OL,ras_drills_used,12.782744407653809
OL,size_score,12.75806999206543
OL,college_sos,7.895096302032471
OL,broad_jump,6.95881986618042
OL,college_sp_defense,5.999971866607666
OL,position_historical_round_avg,4.989980220794678
OL,weight,4.984375953674316
OL,ras_score,4.926266193389893
OL,positional_value_adjusted,3.842257499694824
DEF,age,20.362714767456055
DEF,ras_score,8.589829444885254
DEF,college_sp_defense,6.704249858856201
DEF,speed_score,6.005709171295166
DEF,size_score,5.512155532836914
DEF,college_sp_plus,5.436422824859619
DEF,weight,4.094786643981934
DEF,def_tot,3.8275558948516846
DEF,def_qb_hur,3.7914695739746094
DEF,college_sos,3.6405389308929443
